200c, 28ft, 169.171875, 13387, 5
200c, 28ft, 169.59375, 13414, 6
200c, 28ft, 168.828125, 13365, 7
200c, 28ft, 168.796875, 13363, 8
200c, 28ft, 168.421875, 13339, 9
200c, 30ft, 160.515625, 12833, 0
200c, 30ft, 160.125, 12808, 1
200c, 30ft, 160.546875, 12835, 2
200c, 30ft, 160.46875, 12830, 3
200c, 30ft, 159.671875, 12779, 4
200c, 30ft, 160.828125, 12853, 5
200c, 30ft, 160.046875, 12803, 6
200c, 30ft, 160.40625, 12826, 7
200c, 30ft, 159.859375, 12791, 8
200c, 30ft, 159.609375, 12775, 9
200c, 32ft, 155.484375, 12511, 0
200c, 32ft, 155.484375, 12511, 1
200c, 32ft, 155.484375, 12511, 2
200c, 32ft, 155.5, 12512, 3
200c, 32ft, 155.5, 12512, 4
200c, 32ft, 156.34375, 12566, 5
200c, 32ft, 156.34375, 12566, 6
200c, 32ft, 157.15625, 12618, 7
200c, 32ft, 156.75, 12592, 8
200c, 32ft, 156.765625, 12593, 9
200c, 34ft, 157.390625, 12633, 0
200c, 34ft, 156.578125, 12581, 1
200c, 34ft, 156.578125, 12581, 2
200c, 34ft, 157.3125, 12628, 3
200c, 34ft, 156.9375, 12604, 4
200c, 34ft, 157.0625, 12612, 5
200c, 34ft, 157.0625, 12612, 6
200c, 34ft, 157.0, 12608, 7
200c, 34ft, 156.59375, 12582, 8
200c, 34ft, 156.59375, 12582, 9
200c, 36ft, 153.828125, 12405, 0
200c, 36ft, 153.8125, 12404, 1
200c, 36ft, 153.828125, 12405, 2
200c, 36ft, 153.78125, 12402, 3
200c, 36ft, 153.359375, 12375, 4
200c, 36ft, 153.359375, 12375, 5
200c, 36ft, 153.78125, 12402, 6
200c, 36ft, 153.34375, 12374, 7
200c, 36ft, 153.34375, 12374, 8
200c, 36ft, 153.34375, 12374, 9
200c, 38ft, 153.21875, 12366, 0
200c, 38ft, 153.1875, 12364, 1
200c, 38ft, 153.1875, 12364, 2
200c, 38ft, 153.546875, 12387, 3
200c, 38ft, 153.5625, 12388, 4
200c, 38ft, 152.6875, 12332, 5
